encoder,seed,epochs,val_auc,test_auc,test_logloss,train_seconds,n_params,lr,timestamp,source
raw,42,8,0.7809037381694774,0.7829505069730132,0.463713875076642,135.7320101261139,27024833,0.001,2026-09-10T16:43:14.740501,colab-pro-gpu
raw,123,9,0.7831762169766869,0.7848455375419211,0.46089815485388974,148.1941783428192,27024833,0.001,2026-09-10T16:43:14.740501,colab-pro-gpu
raw,256,9,0.7833939988283816,0.7846272324702125,0.4645477423190888,147.19092440605164,27024833,0.001,2026-09-10T16:43:14.740501,colab-pro-gpu
autodis,42,9,0.779301915866317,0.7806440323911459,0.46838851328837994,207.2437379360199,27031710,0.01,2026-09-10T16:43:14.740501,colab-pro-gpu
autodis,123,8,0.7813818968831336,0.7829038120296288,0.4629014010657011,180.16423630714417,27031710,0.01,2026-09-10T16:43:14.740501,colab-pro-gpu
autodis,256,9,0.7798165045806336,0.7812649288254949,0.46414593320075,197.65310192108154,27031710,0.01,2026-09-10T16:43:14.740501,colab-pro-gpu
kan-bspline,42,9,0.7820334975906533,0.7842806569487861,0.46202484003678945,256.518367767334,27027537,0.001,2026-09-10T16:43:14.740501,colab-pro-gpu
kan-bspline,123,9,0.781979507410935,0.7842342334855816,0.4646089924965541,258.893221616745,27027537,0.001,2026-09-10T16:43:14.740501,colab-pro-gpu
kan-bspline,256,9,0.7848576224524663,0.7867716544122745,0.4606502790358431,257.4740071296692,27027537,0.001,2026-09-10T16:43:14.740501,colab-pro-gpu
