encoder,seed,epochs,val_auc,test_auc,test_logloss,train_seconds,n_params,lr,grid_size
kan-bspline,42,6,0.7749196198596678,0.7765480988457498,0.46740374556112463,169.54784417152405,27026497,0.001,5
kan-bspline,42,8,0.7820334975906533,0.7842806569487861,0.46202484003678945,225.5617470741272,27027537,0.001,10
kan-bspline,42,3,0.4210511500701339,0.4277178376089175,0.7090993179559616,45.33302640914917,27029617,0.001,20
